
+------+---------------+---------------------------------+---------------------+---------------------+----------------------+--------------+--------------+------------+--------------+-----------+-----------------+-------------------+
|  ID  | transactionId |       recipientsXNAddress       | recipientsXM8UserId |        stamp        |  CONTROL_POINT_type  | CONTACT_type | contact_name | PHONE_type |    number    | extension |   claimNumber   | origTransactionId |
| None |    0072LWT    |          XACTNET.QUEUE          |                     | 2020-06-15T10:07:22 |   In Assign Queue    |   ClaimRep   |     None     |    None    |     None     |    None   |  003110276-8-W  |        None       |
| None |    0078HV3    |         ACSC.TEST.STAFF         |                     | 2020-09-30T09:02:13 |      Delivered       |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  003120919-8-W  |        None       |
| None |    006M8WJ    |         ACSC.TEST.STAFF         |                     | 2020-09-30T09:04:50 |      Delivered       |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  005038154-8-X  |        None       |
| None |    007CBQZ    |         ACSC.TEST.STAFF         |                     | 2020-10-15T14:25:36 | Notification Pending |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  003123407-8-W  |        None       |
| None |    007B9Y5    |          XACTNET.QUEUE          |                     | 2020-09-25T11:02:21 |   In Assign Queue    |   ClaimRep   |     None     |    None    |     None     |    None   |  003121741-8-W  |        None       |
| None |    0079VW7    |           TEST.XNA.GL           |                     | 2020-09-22T16:09:43 |      Delivered       |   ClaimRep   |     None     |    None    |     None     |    None   |  003121306-8-W  |        None       |
| None |    00720TJ    |          XACTNET.QUEUE          |                     | 2020-06-03T09:37:15 |   In Assign Queue    |   ClaimRep   |     None     |    None    |     None     |    None   |  003107835-8-W  |        None       |
| None |    007C09G    |          XACTNET.QUEUE          |                     | 2020-10-09T12:10:33 |   In Assign Queue    |   ClaimRep   |     None     |    None    |     None     |    None   |  003122856-8-W  |        None       |
| None |    007318V    |          XACTNET.QUEUE          |                     | 2020-06-22T08:44:02 |   In Assign Queue    |   ClaimRep   |     None     |    None    |     None     |    None   |  003111525-8-W  |        None       |
| None |    0075K0G    |         ACSC.TEST.STAFF         |                     | 2020-08-04T15:03:23 | Notification Pending |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  003117335-8-W  |        None       |
| None |    006VT1W    |           ACSC.TEST.PT          |                     | 2020-05-19T11:47:38 |      Delivered       |   ClaimRep   |     None     |   Office   | 714-850-8048 |           |  003100324-8-W  |        None       |
| None |    007317Z    |          XACTNET.QUEUE          |                     | 2020-06-22T08:43:23 |   In Assign Queue    |   ClaimRep   |     None     |    None    |     None     |    None   |  003111400-8-W  |        None       |
| None |    0073189    |          XACTNET.QUEUE          |                     | 2020-06-22T08:43:38 |   In Assign Queue    |   ClaimRep   |     None     |    None    |     None     |    None   |  003111473-8-W  |        None       |
| None |    00714FP    |         ACSC.TEST.STAFF         |                     | 2020-05-19T14:43:11 | Notification Pending |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  003106025-8-W  |        None       |
| None |    007CD17    |         ACSC.TEST.STAFF         |                     | 2020-10-16T09:48:58 | Notification Pending |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  003123500-8-W  |        None       |
| None |    00731C7    |          XACTNET.QUEUE          |                     | 2020-06-22T08:45:59 |   In Assign Queue    |   ClaimRep   |     None     |    None    |     None     |    None   |  003111839-8-W  |        None       |
| None |    0070KFN    |          XACTNET.QUEUE          |                     | 2020-05-13T15:42:49 |   In Assign Queue    |   ClaimRep   |     None     |    None    |     None     |    None   |  003105559-8-W  |        None       |
| None |    0072HC8    |          XACTNET.QUEUE          |                     | 2020-06-12T11:00:36 |   In Assign Queue    |   ClaimRep   |     None     |    None    |     None     |    None   |  003109954-8-W  |        None       |
| None |    00762V8    |          XACTNET.QUEUE          |                     | 2020-08-12T11:20:12 |   In Assign Queue    |   ClaimRep   |     None     |    None    |     None     |    None   |  003118973-8-W  |        None       |
| None |    006VT2Q    |           ACSC.TEST.LG          |                     | 2020-03-31T13:28:58 | Notification Pending |   ClaimRep   |     None     |   Office   | 714-898-3655 |           |  003100208-8-W  |        None       |
| None |    00731N2    |           ACSC.TEST.PT          |       TORRES.P      | 2020-06-22T10:28:23 |  Estimate Received   |   ClaimRep   |     None     |   Office   | 714-850-8048 |           |  003112315-8-W  |        None       |
| None |    007C6R6    |           ACSC.TEST.PT          |                     | 2020-10-13T15:56:28 | Notification Pending |   ClaimRep   |     None     |   Office   | 714-850-8048 |           |  003123153-8-W  |        None       |
| None |    0072R49    |          XACTNET.QUEUE          |                     | 2020-06-17T07:50:28 |   In Assign Queue    |   ClaimRep   |     None     |    None    |     None     |    None   |  003111236-8-W  |        None       |
| None |    00731BP    |          XACTNET.QUEUE          |                     | 2020-06-22T08:45:31 |   In Assign Queue    |   ClaimRep   |     None     |    None    |     None     |    None   |  003111770-8-W  |        None       |
| None |    007C2V9    |         ACSC.BETA.ONLINE        |       LANCASTE      | 2020-10-12T13:15:15 |      Delivered       |   ClaimRep   |     None     |   Office   | 816-284-7157 |           |  003122810-8-W  |        None       |
| None |    0072R8N    |          XACTNET.QUEUE          |                     | 2020-06-17T08:55:12 |   In Assign Queue    |   ClaimRep   |     None     |    None    |     None     |    None   |  003111276-8-W  |        None       |
| None |    00734F6    |          XACTNET.QUEUE          |                     | 2020-06-23T11:50:54 |   In Assign Queue    |   ClaimRep   |     None     |    None    |     None     |    None   |  003112758-8-W  |        None       |
| None |    006XHDM    |         ACSC.TEST.STAFF         |                     | 2020-04-16T10:23:24 | Notification Pending |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  003102572-8-W  |        None       |
| None |    007BG66    |         ACSC.TEST.STAFF         |                     | 2020-09-29T11:27:59 | Notification Pending |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  003121836-8-W  |        None       |
| None |    007C9N7    |         ACSC.TEST.STAFF         |                     | 2020-10-14T14:31:09 | Notification Pending |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  003123272-8-W  |        None       |
| None |    007CBPS    |         ACSC.TEST.STAFF         |                     | 2020-10-15T14:34:16 |      Delivered       |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  003123383-8-W  |        None       |
| None |    00734SD    |          XACTNET.QUEUE          |                     | 2020-06-23T15:12:58 |   In Assign Queue    |   ClaimRep   |     None     |    None    |     None     |    None   |  003112913-8-W  |        None       |
| None |    007CBR5    |         ACSC.TEST.STAFF         |                     | 2020-10-15T14:30:31 |    Site Inspected    |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  003123410-8-W  |        None       |
| None |    006YHBC    |         ACSC.TEST.STAFF         |                     | 2020-04-24T09:50:42 | Notification Pending |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  003103495-8-W  |        None       |
| None |    0073484    |          XACTNET.QUEUE          |                     | 2020-06-23T10:23:49 |   In Assign Queue    |   ClaimRep   |     None     |    None    |     None     |    None   |  003112675-8-W  |        None       |
| None |    007B17X    |           TEST.XNA.GL           |       LANCAST1      | 2020-09-22T23:00:00 |      Contacted       |   ClaimRep   |     None     |    None    |     None     |    None   |  003121500-8-W  |        None       |
| None |    007C0FS    |         ACSC.TEST.STAFF         |                     | 2020-10-15T14:33:21 |      Delivered       |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  003122865-8-W  |        None       |
| None |    007319R    |          XACTNET.QUEUE          |                     | 2020-06-22T08:44:46 |   In Assign Queue    |   ClaimRep   |     None     |    None    |     None     |    None   |  003111668-8-W  |        None       |
| None |    007C6DB    |          ACSC.TEST.DP5          |                     | 2020-10-13T14:05:14 | Notification Pending |   ClaimRep   |     None     |    None    |     None     |    None   |  003123127-8-W  |        None       |
| None |    0077YXG    |       SERVPRO.TEST.ONLINE       |                     | 2020-09-03T12:14:06 |       Notified       |   ClaimRep   |     None     |    None    |     None     |    None   |     C812537     |        None       |
| None |    006YT53    |          XACTNET.QUEUE          |                     | 2020-04-30T14:57:45 |   In Assign Queue    |   ClaimRep   |     None     |    None    |     None     |    None   |  003103963-8-W  |        None       |
| None |    007C03J    |         ACSC.TEST.STAFF         |                     | 2020-10-15T14:33:19 |      Delivered       |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  003122827-8-W  |        None       |
| None |    006YBW6    |         ACSC.TEST.STAFF         |                     | 2020-04-23T09:55:40 | Notification Pending |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  003103338-8-W  |        None       |
| None |    0079VW2    |          XACTNET.QUEUE          |                     | 2020-09-22T16:06:20 |   In Assign Queue    |   ClaimRep   |     None     |    None    |     None     |    None   |  003121234-8-W  |        None       |
| None |    0072P7Q    |         ACSC.TEST.STAFF         |                     | 2020-06-16T12:00:21 | Notification Pending |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  003110908-8-W  |        None       |
| None |    007C968    |         ACSC.TEST.STAFF         |                     | 2020-10-15T14:33:31 |      Delivered       |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  003123190-8-W  |        None       |
| None |    006VTVL    |          XACTNET.QUEUE          |                     | 2020-03-31T16:43:25 |   In Assign Queue    |   ClaimRep   |     None     |    None    |     None     |    None   |  2121212121-21  |        None       |
| None |    0075NPJ    |         ACSC.TEST.STAFF         |                     | 2020-09-30T09:01:29 |      Delivered       |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  003117839-8-W  |        None       |
| None |    007CDMH    |         ACSC.TEST.STAFF         |                     | 2020-10-16T16:20:12 | Notification Pending |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  003123624-8-W  |        None       |
| None |    007C9KS    |         ACSC.TEST.STAFF         |                     | 2020-10-14T13:32:56 | Notification Pending |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  003123263-8-W  |        None       |
| None |    0078BCL    |         ACSC.TEST.STAFF         |                     | 2020-09-30T09:02:00 |      Delivered       |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  003120886-8-W  |        None       |
| None |    006Y3Z3    |         ACSC.TEST.STAFF         |                     | 2020-04-21T14:15:58 | Notification Pending |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  003103089-8-W  |        None       |
| None |    007B186    |           TEST.XNA.GL           |       LANCAST1      | 2020-09-23T00:00:01 |      Contacted       |   ClaimRep   |     None     |    None    |     None     |    None   |  003121503-8-W  |        None       |
| None |    007344F    |         ACSC.TEST.STAFF         |                     | 2020-06-23T09:52:30 | Notification Pending |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  005044808-8-X  |        None       |
| None |    007286S    |         ACSC.TEST.STAFF         |                     | 2020-06-08T15:51:10 | Notification Pending |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  003108849-8-W  |        None       |
| None |    007C2V9    |         ACSC.BETA.ONLINE        |       NGBOARDE      | 2020-10-12T00:00:01 |      Contacted       |   ClaimRep   |     None     |   Office   | 801-932-8267 |           |  003122810-8-W  |        None       |
| None |    007CFT3    |         ACSC.TEST.STAFF         |                     | 2020-10-19T11:27:14 | Notification Pending |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  003123687-8-W  |        None       |
| None |    007CKFC    |         ACSC.TEST.STAFF         |                     | 2020-10-22T09:21:35 | Notification Pending |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  003123946-8-W  |        None       |
| None |    0074V5G    |          XACTNET.QUEUE          |                     | 2020-07-24T11:55:15 |   In Assign Queue    |   ClaimRep   |     None     |    None    |     None     |    None   |  003115796-8-W  |        None       |
| None |    0071P73    |          XACTNET.QUEUE          |                     | 2020-05-29T12:25:23 |   In Assign Queue    |   ClaimRep   |     None     |    None    |     None     |    None   |  003105037-8-W  |        None       |
| None |    0072ML6    |          XACTNET.QUEUE          |                     | 2020-06-15T15:42:47 |   In Assign Queue    |   ClaimRep   |     None     |    None    |     None     |    None   |  003110532-8-W  |        None       |
| None |    007319D    |          XACTNET.QUEUE          |                     | 2020-06-22T08:44:26 |   In Assign Queue    |   ClaimRep   |     None     |    None    |     None     |    None   |  003111577-8-W  |        None       |
| None |    006XHLC    |         ACSC.TEST.STAFF         |                     | 2020-04-16T11:07:15 | Notification Pending |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  003102586-8-W  |        None       |
| None |    0073175    |          XACTNET.QUEUE          |                     | 2020-06-22T08:42:43 |   In Assign Queue    |   ClaimRep   |     None     |    None    |     None     |    None   |  003111363-8-W  |        None       |
| None |    0072R56    |          XACTNET.QUEUE          |                     | 2020-06-17T08:02:19 |   In Assign Queue    |   ClaimRep   |     None     |    None    |     None     |    None   |  003111241-8-W  |        None       |
| None |    0072NTQ    |         ACSC.TEST.STAFF         |                     | 2020-06-16T09:11:24 | Notification Pending |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  003110723-8-W  |        None       |
| None |    0072GHJ    |         ACSC.TEST.STAFF         |                     | 2020-09-30T09:09:13 |      Delivered       |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  005044710-8-X  |        None       |
| None |    007258V    |         ACSC.TEST.STAFF         |                     | 2020-06-05T13:49:13 | Notification Pending |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  003108460-8-W  |        None       |
| None |    00731CZ    |          XACTNET.QUEUE          |                     | 2020-06-22T08:46:34 |   In Assign Queue    |   ClaimRep   |     None     |    None    |     None     |    None   |  003111969-8-W  |        None       |
| None |    007140W    |         ACSC.TEST.STAFF         |                     | 2020-09-29T15:25:56 |      Delivered       |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  003105983-8-W  |        None       |
| None |    0073QPN    |          XACTNET.QUEUE          |                     | 2020-07-06T13:13:58 |   In Assign Queue    |   ClaimRep   |     None     |    None    |     None     |    None   |  003114089-8-W  |        None       |
| None |    00714HH    |          XACTNET.QUEUE          |                     | 2020-05-19T14:54:40 |   In Assign Queue    |   ClaimRep   |     None     |    None    |     None     |    None   |  003106029-8-W  |        None       |
| None |    006Y3KM    |          XACTNET.QUEUE          |                     | 2020-04-21T10:24:47 |   In Assign Queue    |   ClaimRep   |     None     |    None    |     None     |    None   |  003103015-8-W  |        None       |
| None |    006Y74T    |         ACSC.TEST.STAFF         |                     | 2020-04-22T09:58:16 | Notification Pending |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  003103193-8-W  |        None       |
| None |    00731TN    |         ACSC.TEST.STAFF         |                     | 2020-09-29T15:32:52 |      Delivered       |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  003112362-8-W  |        None       |
| None |    007CGLR    |         ACSC.TEST.STAFF         |                     | 2020-10-20T14:42:28 | Notification Pending |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  003123855-8-W  |        None       |
| None |    0072M0J    |          XACTNET.QUEUE          |                     | 2020-06-15T11:13:48 |   In Assign Queue    |   ClaimRep   |     None     |    None    |     None     |    None   |  003110318-8-W  |        None       |
| None |    0073RQC    |          XACTNET.QUEUE          |                     | 2020-07-07T00:44:10 |   In Assign Queue    |   ClaimRep   |     None     |    None    |     None     |    None   |                 |        None       |
| None |    00734TP    |          XACTNET.QUEUE          |                     | 2020-06-23T15:31:37 |   In Assign Queue    |   ClaimRep   |     None     |    None    |     None     |    None   |  003112939-8-W  |        None       |
| None |    0072NS8    |          XACTNET.QUEUE          |                     | 2020-06-16T08:38:31 |   In Assign Queue    |   ClaimRep   |     None     |    None    |     None     |    None   |  003110676-8-W  |        None       |
| None |    00731CS    |          XACTNET.QUEUE          |                     | 2020-06-22T08:46:22 |   In Assign Queue    |   ClaimRep   |     None     |    None    |     None     |    None   |  003111935-8-W  |        None       |
| None |    0074B3Z    |         ACSC.TEST.STAFF         |                     | 2020-07-17T15:41:37 | Notification Pending |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  003115091-8-W  |        None       |
| None |    0072PL0    |          XACTNET.QUEUE          |                     | 2020-06-16T13:51:38 |   In Assign Queue    |   ClaimRep   |     None     |    None    |     None     |    None   |  003110998-8-W  |        None       |
| None |    0075K0G    |         ACSC.TEST.STAFF         |                     | 2020-09-30T09:00:51 |      Delivered       |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  003117335-8-W  |        None       |
| None |    00701FK    | NEXTGEAR_XACT8_INTEGRATION_TEST |                     | 2020-05-07T07:13:44 | Notification Pending |   ClaimRep   |     None     |    None    |     None     |    None   |                 |        None       |
| None |    00734CR    |          XACTNET.QUEUE          |                     | 2020-06-23T11:24:42 |   In Assign Queue    |   ClaimRep   |     None     |    None    |     None     |    None   |  003112730-8-W  |        None       |
| None |    007BGBW    |          XACTNET.QUEUE          |                     | 2020-09-29T12:40:28 |   In Assign Queue    |   ClaimRep   |     None     |    None    |     None     |    None   |  003121991-8-W  |        None       |
| None |    006NYL2    |         ACSC.TEST.STAFF         |                     | 2020-09-30T09:05:44 |      Delivered       |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  005038979-8-X  |        None       |
| None |    00731M1    |         ACSC.TEST.STAFF         |                     | 2020-06-22T10:10:35 | Notification Pending |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  003112306-8-W  |        None       |
| None |    007C96R    |         ACSC.TEST.STAFF         |                     | 2020-10-15T14:33:34 |      Delivered       |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  003123199-8-W  |        None       |
| None |    0072NML    |          XACTNET.QUEUE          |                     | 2020-06-16T07:19:13 |   In Assign Queue    |   ClaimRep   |     None     |    None    |     None     |    None   |  003110621-8-W  |        None       |
| None |    007B442    |         ACSC.TEST.STAFF         |                     | 2020-09-30T09:03:23 |      Delivered       |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  003121694-8-W  |        None       |
| None |    00713V2    |         ACSC.TEST.STAFF         |                     | 2020-09-29T15:25:45 |      Delivered       |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  003105964-8-W  |        None       |
| None |    006YH99    |          XACTNET.QUEUE          |                     | 2020-04-24T09:37:55 |   In Assign Queue    |   ClaimRep   |     None     |    None    |     None     |    None   |  003103489-8-W  |        None       |
| None |    0073B54    |          XACTNET.QUEUE          |                     | 2020-06-26T12:17:49 |   In Assign Queue    |   ClaimRep   |     None     |    None    |     None     |    None   |  003113212-8-W  |        None       |
| None |    007CD16    |         ACSC.TEST.STAFF         |                     | 2020-10-16T09:44:58 | Notification Pending |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  003123498-8-W  |        None       |
| None |    00731RD    |           ACSC.TEST.PT          |                     | 2020-06-22T10:59:01 |       Notified       |   ClaimRep   |     None     |   Office   | 714-850-8048 |           |  003112337-8-W  |        None       |
| None |    006YH9R    |         ACSC.TEST.STAFF         |                     | 2020-04-24T09:47:01 | Notification Pending |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  003103494-8-W  |        None       |
| None |    0072HM6    |          XACTNET.QUEUE          |                     | 2020-06-12T13:03:47 |   In Assign Queue    |   ClaimRep   |     None     |    None    |     None     |    None   |  003110032-8-W  |        None       |
| None |    0072NT5    |         ACSC.TEST.STAFF         |                     | 2020-06-16T09:03:44 | Notification Pending |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  003110713-8-W  |        None       |
| None |    0072LS8    |          XACTNET.QUEUE          |                     | 2020-06-15T09:10:06 |   In Assign Queue    |   ClaimRep   |     None     |    None    |     None     |    None   |  003110226-8-W  |        None       |
| None |    00731BS    |          XACTNET.QUEUE          |                     | 2020-06-22T08:45:36 |   In Assign Queue    |   ClaimRep   |     None     |    None    |     None     |    None   |  003111794-8-W  |        None       |
| None |    006NGT5    |         ACSC.TEST.STAFF         |                     | 2020-09-30T09:05:21 |      Delivered       |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  005038629-8-X  |        None       |
| None |    007CBPR    |         ACSC.TEST.STAFF         |                     | 2020-10-15T14:34:15 |      Delivered       |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  003123381-8-W  |        None       |
| None |    007C9P3    |         ACSC.TEST.STAFF         |                     | 2020-10-15T14:33:55 |      Delivered       |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  003123275-8-W  |        None       |
| None |    0072MCC    |         ACSC.TEST.STAFF         |                     | 2020-09-29T15:31:24 |      Delivered       |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  003110410-8-W  |        None       |
| None |    006XFWN    |          ACSC.TEST.DP5          |                     | 2020-04-15T15:23:38 | Notification Pending |   ClaimRep   |     None     |    None    |     None     |    None   |  003102477-8-W  |        None       |
| None |    007C6LC    |           ACSC.TEST.PT          |                     | 2020-10-15T12:21:11 |      Delivered       |   ClaimRep   |     None     |   Office   | 714-850-8048 |           |  003123151-8-W  |        None       |
| None |    007318S    |          XACTNET.QUEUE          |                     | 2020-06-22T08:43:59 |   In Assign Queue    |   ClaimRep   |     None     |    None    |     None     |    None   |  003111522-8-W  |        None       |
| None |    0073173    |          XACTNET.QUEUE          |                     | 2020-06-22T08:42:39 |   In Assign Queue    |   ClaimRep   |     None     |    None    |     None     |    None   |  003111356-8-W  |        None       |
| None |    00734DM    |          XACTNET.QUEUE          |                     | 2020-06-23T11:43:46 |   In Assign Queue    |   ClaimRep   |     None     |    None    |     None     |    None   |  003112753-8-W  |        None       |
| None |    007BG6C    |         ACSC.TEST.STAFF         |                     | 2020-09-29T11:28:06 | Notification Pending |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  003121884-8-W  |        None       |
| None |    006PPBH    |         ACSC.TEST.STAFF         |                     | 2020-09-30T09:07:06 |      Delivered       |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  005040499-8-X  |        None       |
| None |    007B17T    |           TEST.XNA.GL           |       LANCAST1      | 2020-09-23T08:37:49 |  Estimate Received   |   ClaimRep   |     None     |    None    |     None     |    None   |  003121498-8-W  |        None       |
| None |    0071PQ6    |          XACTNET.QUEUE          |                     | 2020-05-29T16:05:52 |   In Assign Queue    |   ClaimRep   |     None     |    None    |     None     |    None   |  003105982-8-W  |        None       |
| None |    007CD0Y    |         ACSC.TEST.STAFF         |                     | 2020-10-16T09:29:07 | Notification Pending |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  003123493-8-W  |        None       |
| None |    006XK2V    |          ACSC.TEST.DP5          |                     | 2020-04-16T15:09:48 | Notification Pending |   ClaimRep   |     None     |    None    |     None     |    None   |  003102641-8-W  |        None       |
| None |    0073178    |          XACTNET.QUEUE          |                     | 2020-06-22T08:42:47 |   In Assign Queue    |   ClaimRep   |     None     |    None    |     None     |    None   |  003111367-8-W  |        None       |
| None |    006XBDJ    |         ACSC.TEST.STAFF         |                     | 2020-09-29T14:31:00 |      Delivered       |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  003102330-8-W  |        None       |
| None |    006NDKJ    |         ACSC.TEST.STAFF         |                     | 2020-09-30T09:05:14 |      Delivered       |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  005038602-8-X  |        None       |
| None |    0073180    |          XACTNET.QUEUE          |                     | 2020-06-22T08:43:25 |   In Assign Queue    |   ClaimRep   |     None     |    None    |     None     |    None   |  003111402-8-W  |        None       |
| None |    0073B97    |         ACSC.TEST.STAFF         |                     | 2020-06-26T15:20:45 | Notification Pending |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  003113303-8-W  |        None       |
| None |    007C9WN    |         ACSC.TEST.STAFF         |                     | 2020-10-15T14:34:05 |      Delivered       |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  003123321-8-W  |        None       |
| None |    00734B4    |          XACTNET.QUEUE          |                     | 2020-06-23T11:04:39 |   In Assign Queue    |   ClaimRep   |     None     |    None    |     None     |    None   |  003112706-8-W  |        None       |
| None |    00716RC    |         ACSC.TEST.STAFF         |                     | 2020-05-20T15:10:54 | Notification Pending |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  003106264-8-W  |        None       |
| None |    0071K3N    |          XACTNET.QUEUE          |                     | 2020-05-27T16:57:35 |   In Assign Queue    |   ClaimRep   |     None     |    None    |     None     |    None   |  003107065-8-W  |        None       |
| None |    007C0DS    |         ACSC.TEST.STAFF         |                     | 2020-10-15T14:33:20 |      Delivered       |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  003122862-8-W  |        None       |
| None |    006P9M2    |         ACSC.TEST.STAFF         |                     | 2020-09-30T09:06:25 |      Delivered       |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  005040080-8-X  |        None       |
| None |    0073B5H    |         ACSC.TEST.STAFF         |                     | 2020-09-29T15:33:34 |      Delivered       |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  003113228-8-W  |        None       |
| None |    007CGJ4    |         ACSC.TEST.STAFF         |                     | 2020-10-20T13:43:59 | Notification Pending |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  003123810-8-W  |        None       |
| None |    007CFPN    |         ACSC.TEST.STAFF         |                     | 2020-10-19T09:59:58 | Notification Pending |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  003123665-8-W  |        None       |
| None |    0072HD5    |          XACTNET.QUEUE          |                     | 2020-06-12T11:14:59 |   In Assign Queue    |   ClaimRep   |     None     |    None    |     None     |    None   |  003109962-8-W  |        None       |
| None |    007B17X    |           TEST.XNA.GL           |       LANCAST1      | 2020-09-23T08:37:41 |  Estimate Received   |   ClaimRep   |     None     |    None    |     None     |    None   |  003121500-8-W  |        None       |
| None |    00716G5    |          XACTNET.QUEUE          |                     | 2020-05-20T12:04:34 |   In Assign Queue    |   ClaimRep   |     None     |    None    |     None     |    None   |  003106167-8-W  |        None       |
| None |    0070H0Y    |          XACTNET.QUEUE          |                     | 2020-05-12T16:39:28 |   In Assign Queue    |   ClaimRep   |     None     |    None    |     None     |    None   |  003105412-8-W  |        None       |
| None |    00723D2    |         ACSC.TEST.STAFF         |                     | 2020-09-29T15:29:28 |      Delivered       |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  003108199-8-W  |        None       |
| None |    00731P3    |           ACSC.TEST.PT          |                     | 2020-06-22T10:37:24 |      Delivered       |   ClaimRep   |     None     |   Office   | 714-850-8048 |           |  003112324-8-W  |        None       |
| None |    007BG8F    |         ACSC.TEST.STAFF         |                     | 2020-09-30T09:04:04 |      Delivered       |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  003121974-8-W  |        None       |
| None |    007286S    |         ACSC.TEST.STAFF         |                     | 2020-09-29T15:30:15 |      Delivered       |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  003108849-8-W  |        None       |
| None |    0075NNQ    |         ACSC.TEST.STAFF         |                     | 2020-09-30T09:01:21 |      Delivered       |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  003117825-8-W  |        None       |
| None |    0070SKF    |         ACSC.TEST.STAFF         |                     | 2020-09-29T15:25:09 |      Delivered       |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  003105792-8-W  |        None       |
| None |    0073JSH    |         ACSC.TEST.STAFF         |                     | 2020-07-01T08:26:44 | Notification Pending |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  003113564-8-W  |        None       |
| None |    0077X61    |         ACSC.TEST.STAFF         |                     | 2020-09-30T09:09:54 |      Delivered       |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  005045823-8-X  |        None       |
| None |    00731BN    |          XACTNET.QUEUE          |                     | 2020-06-22T08:45:30 |   In Assign Queue    |   ClaimRep   |     None     |    None    |     None     |    None   |  003111767-8-W  |        None       |
| None |    007036M    |         ACSC.TEST.STAFF         |                     | 2020-05-08T09:02:08 | Notification Pending |   ClaimRep   |     None     |   Office   | 949-933-3058 |           |  003104852-8-W  |        None       |
| None |    006YSY8    |          XACTNET.QUEUE          |                     | 2020-04-30T14:10:12 |   In Assign Queue    |   ClaimRep   |     None     |    None    |     None     |    None   |  003103943-8-W  |        None       |
