Element,Attribute,Description
RECAP_PERMIT,rcv,Replacement Cost Value for this entry.
RECAP_PERMIT,acv,Actual Cost Value of the Overhead or Profit.
RECAP_PERMIT,deprec,Depreciation amount of the Overhead or Profit.
COV,name,Coverage name.
COV,rate,The percentage of the item that applies to the coverage.
COV,amount,Amount of the item total that applies to the coverage.
OVERHEAD,rate,Rate of this sales tax.
OVERHEAD,desc,Description.
OVERHEAD,percentage,Percentage the rcv represents of the total.
OVERHEAD,rcv,Replacement Cost Value for this entry.
OVERHEAD,acv,Actual Cost Value of the Overhead or Profit.
OVERHEAD,deprec,Depreciation amount of the Overhead or Profit.
COV,name,Coverage name.
COV,rate,The percentage of the item that applies to the coverage.
COV,amount,Amount of the item total that applies to the coverage.
PROFIT,rate,Rate of this sales tax.
PROFIT,desc,Description.
PROFIT,percentage,Percentage the rcv represents of the total.
PROFIT,rcv,Replacement Cost Value for this entry.
PROFIT,acv,Actual Cost Value of the Overhead or Profit.
PROFIT,deprec,Depreciation amount of the Overhead or Profit.
COV,name,Coverage name.
COV,rate,The percentage of the item that applies to the coverage.
COV,amount,Amount of the item total that applies to the coverage.
SALES_TAX,rate,Rate of this sales tax.
SALES_TAX,desc,Description.
SALES_TAX,percentage,Percentage the rcv represents of the total.
SALES_TAX,rcv,Replacement Cost Value for this entry.
SALES_TAX,acv,Actual Cost Value of the Overhead or Profit.
SALES_TAX,deprec,Depreciation amount of the Overhead or Profit.
RECAP_BY_CATEGORY,subtotalRCV,Replacement Cost Value subtotal for this section.
RECAP_BY_CATEGORY,subtotalACV,Actual Cost Value subtotal for this section.
RECAP_BY_CATEGORY,subtotalDeprec,Depreciation subtotal for this section.
OVERHEAD,rate,Overhead or Profit rate.
OVERHEAD,amount,Overhead or Profit rate. Calculated amount of Overhead or Profit.
PROFIT,rate,Overhead or Profit rate.
PROFIT,amount,Overhead or Profit rate. Calculated amount of Overhead or Profit.
TAX_DETAIL,desc,Description of this sales tax.
TAX_DETAIL,rate,Rate for the tax.
TAX_DETAIL,taxNum,Number for this sales tax.
TAX_DETAIL,amount, Amount for the tax.
TAX_AMOUNT,taxNum,Number for this sales tax.
TAX_AMOUNT,amount,Number for this sales tax.  Amount for the tax.
LINE_ITEMS,overhead,"Add recap of tax, OP to generic and state farm rough draft xml."
LINE_ITEMS,profit,"Add recap of tax, OP to generic and state farm rough draft xml."
TAX_AMOUNT,taxNum,Number for this sales tax.
TAX_AMOUNT,amount,Number for this sales tax.  Amount for the tax.
ADDL_CHARGES,overhead,"Add recap of tax, OP to generic and state farm rough draft xml."
ADDL_CHARGES,profit,"Add recap of tax, OP to generic and state farm rough draft xml."
TAX_AMOUNT,taxNum,Number for this sales tax.
TAX_AMOUNT,amount,Number for this sales tax.  Amount for the tax.
BASE_SERVICE_CHARGES,overhead,"Add recap of tax, OP to generic and state farm rough draft xml."
BASE_SERVICE_CHARGES,profit,"Add recap of tax, OP to generic and state farm rough draft xml."
CLOSING_STATEMENT,,Closing Statement
HEADER,,Company header text
HEADER,COMP_INFO,Company information from the company header.
HEADER,compName,Company Name
HEADER,dateCreated,Date and time this XML file was created.
PT_PAYMENT,NOTE,Note for the check.
PT_PAYMENT,date,Date of check.
PT_PAYMENT,checkNum,Check Number.
PT_PAYMENT,type,"Type of check.  ""0"" for Advanced, ""1"" for ACV/RC Deferred, ""2"" for ALE"
PT_PAYMENT,userID,User logged in when check was cut.
PT_PAYMENT,voided,Was check voided?
PT_PAYMENT,recut,Was check re-cut?
PT_PAYMENT,rcDeferredAmount,RC Deferred portion of the check.
PT_PAYMENT,acvAmount,ACV portion of the check.
PT_TOTALS,ptALEPaid,Total amount of ALE paid.
PT_TOTALS,ptNumPmts,Number of non-voided payments.
